id_Localisation,Geography
1,France
3,Spain
5,France
7,France
9,Spain
11,Spain
13,France
15,Germany
17,France
19,France
21,France
23,Spain
25,France
27,France
29,Spain
31,Germany
33,Germany
35,Spain
37,Spain
39,France
41,France
43,Spain
45,Spain
47,France
49,France
51,France
53,Germany
55,France
57,Germany
59,France
61,Spain
63,France
65,Germany
67,Spain
69,Spain
71,France
73,Spain
75,Spain
77,France
79,Germany
81,Spain
83,France
85,France
87,France
89,Spain
91,Germany
93,Germany
95,Germany
97,Germany
99,Germany
101,Germany
103,Germany
105,France
107,Germany
109,Germany
111,France
113,France
115,Germany
117,Spain
119,France
121,Germany
123,Germany
125,Spain
127,Spain
129,Germany
131,Germany
133,Germany
135,Germany
137,Germany
139,France
141,Germany
143,France
145,Spain
147,Germany
149,France
151,France
153,France
155,France
157,Spain
159,Germany
161,France
163,France
165,France
167,France
169,France
171,Spain
173,Spain
175,France
177,France
179,Germany
181,Spain
183,France
185,France
187,France
189,Spain
191,Spain
193,Spain
195,Germany
197,Spain
199,France
201,France
203,France
205,France
207,Spain
209,Spain
211,Spain
213,Germany
215,Germany
217,Spain
219,Germany
221,Germany
223,Germany
225,France
227,Spain
229,Germany
231,Germany
233,Germany
235,France
237,Germany
239,Germany
241,France
243,Spain
245,France
247,Germany
249,France
251,France
253,France
255,Germany
257,France
259,France
261,France
263,Germany
265,France
267,France
269,Germany
271,Germany
273,Germany
275,France
277,Spain
279,Spain
281,Germany
283,France
285,France
287,Spain
289,France
291,Spain
293,Spain
295,France
297,France
299,France
301,Spain
303,France
305,Spain
307,France
309,France
311,Spain
313,France
315,Spain
317,France
319,Germany
321,Spain
323,France
325,France
327,Spain
329,Spain
331,Germany
333,Germany
335,Spain
337,Spain
339,Germany
341,France
343,Germany
345,Germany
347,France
349,France
351,Spain
353,France
355,Germany
357,Spain
359,Germany
361,Spain
363,France
365,Germany
367,France
369,France
371,France
373,France
375,Spain
377,Spain
379,Germany
381,France
383,France
385,France
387,France
389,Spain
391,France
393,Spain
395,Germany
397,France
399,France
401,Spain
403,France
405,Spain
407,France
409,Spain
411,France
413,Spain
415,France
417,France
419,France
421,Germany
423,France
425,France
427,France
429,Germany
431,Germany
433,France
435,Spain
437,France
439,France
441,France
443,Spain
445,France
447,France
449,Germany
451,France
453,France
455,Germany
457,Germany
459,Germany
461,France
463,France
465,France
467,Germany
469,France
471,Germany
473,France
475,Germany
477,France
479,France
481,Spain
483,Germany
485,France
487,Germany
489,Spain
491,France
493,Germany
495,France
497,Germany
499,Germany
501,Germany
503,Spain
505,France
507,Germany
509,Spain
511,Spain
513,France
515,Germany
517,France
519,Germany
521,Germany
523,Spain
525,France
527,France
529,Spain
531,Spain
533,France
535,France
537,Spain
539,Germany
541,Spain
543,Germany
545,Germany
547,France
549,Germany
551,Spain
553,France
555,France
557,France
559,France
561,France
563,Spain
565,Germany
567,France
569,France
571,France
573,Spain
575,France
577,Spain
579,Spain
581,Germany
583,Spain
585,France
587,Spain
589,France
591,France
593,France
595,Spain
597,France
599,France
601,France
603,Spain
605,France
607,France
609,France
611,France
613,France
615,Germany
617,France
619,Germany
621,France
623,Germany
625,France
627,Germany
629,Spain
631,Spain
633,France
635,Spain
637,Spain
639,France
641,Spain
643,France
645,France
647,France
649,France
651,France
653,France
655,France
657,Germany
659,Germany
661,France
663,Spain
665,Germany
667,Germany
669,Spain
671,France
673,Germany
675,France
677,Spain
679,Germany
681,Germany
683,France
685,Spain
687,France
689,France
691,France
693,Germany
695,Germany
697,Germany
699,France
701,Spain
703,Spain
705,Spain
707,Spain
709,France
711,France
713,Spain
715,Spain
717,France
719,France
721,Spain
723,Germany
725,France
727,Germany
729,France
731,Spain
733,Germany
735,Germany
737,Germany
739,France
741,Spain
743,Germany
745,Germany
747,Germany
749,Germany
751,France
753,Germany
755,Spain
757,Spain
759,Spain
761,France
763,France
765,Germany
767,Germany
769,Germany
771,France
773,Spain
775,Spain
777,Spain
779,France
781,Germany
783,Germany
785,Spain
787,Spain
789,Spain
791,Germany
793,France
795,Germany
797,France
799,France
801,France
803,Germany
805,Spain
807,Spain
809,France
811,France
813,Spain
815,Spain
817,Germany
819,Germany
821,Spain
823,France
825,Spain
827,Germany
829,Spain
831,Spain
833,Germany
835,France
837,France
839,France
841,Germany
843,France
845,Germany
847,France
849,France
851,France
853,Germany
855,France
857,Germany
859,Germany
861,Germany
863,Germany
865,Germany
867,Germany
869,France
871,France
873,Germany
875,France
877,France
879,Germany
881,France
883,France
885,France
887,France
889,Spain
891,France
893,France
895,France
897,France
899,Spain
901,Germany
903,France
905,Spain
907,Spain
909,France
911,France
913,France
915,France
917,Germany
919,Spain
921,Germany
923,France
925,Spain
927,France
929,Spain
931,France
933,Spain
935,Germany
937,France
939,France
941,Spain
943,France
945,France
947,France
949,France
951,Germany
953,Germany
955,France
957,France
959,France
961,Spain
963,France
965,France
967,Germany
969,Spain
971,France
973,France
975,France
977,France
979,Germany
981,Spain
983,France
985,France
987,France
989,France
991,Germany
993,France
995,France
997,Germany
999,France
1001,Spain
1003,France
1005,France
1007,Spain
1009,Spain
1011,France
1013,Germany
1015,Germany
1017,France
1019,Spain
1021,Germany
1023,Germany
1025,Spain
1027,France
1029,France
1031,Spain
1033,France
1035,Germany
1037,France
1039,France
1041,France
1043,France
1045,Spain
1047,Germany
1049,France
1051,France
1053,France
1055,France
1057,Germany
1059,France
1061,Spain
1063,Spain
1065,France
1067,Spain
1069,France
1071,France
1073,Germany
1075,Spain
1077,Germany
1079,Germany
1081,France
1083,France
1085,France
1087,Spain
1089,France
1091,Spain
1093,France
1095,Germany
1097,France
1099,France
1101,Germany
1103,Germany
1105,Spain
1107,France
1109,Germany
1111,Spain
1113,Germany
1115,Germany
1117,Spain
1119,Spain
1121,Germany
1123,Spain
1125,Spain
1127,France
1129,Spain
1131,France
1133,Spain
1135,Spain
1137,Germany
1139,France
1141,France
1143,France
1145,France
1147,Spain
1149,Spain
1151,France
1153,Spain
1155,France
1157,France
1159,France
1161,Spain
1163,Spain
1165,Spain
1167,Germany
1169,Germany
1171,France
1173,Spain
1175,France
1177,France
1179,Spain
1181,Germany
1183,France
1185,France
1187,Spain
1189,Spain
1191,Germany
1193,Spain
1195,Germany
1197,Germany
1199,Germany
1201,France
1203,Spain
1205,France
1207,France
1209,France
1211,France
1213,France
1215,France
1217,France
1219,Germany
1221,France
1223,France
1225,France
1227,Spain
1229,Germany
1231,Spain
1233,Spain
1235,Germany
1237,Spain
1239,Spain
1241,France
1243,Spain
1245,Germany
1247,Germany
1249,Spain
1251,Spain
1253,France
1255,France
1257,France
1259,Spain
1261,France
1263,Germany
1265,Spain
1267,Germany
1269,France
1271,Spain
1273,Spain
1275,France
1277,France
1279,France
1281,Spain
1283,France
1285,France
1287,Germany
1289,France
1291,France
1293,France
1295,France
1297,France
1299,France
1301,France
