id_typecard,Card_Type
2,DIAMOND
4,DIAMOND
6,DIAMOND
8,GOLD
10,GOLD
12,DIAMOND
14,SILVER
16,DIAMOND
18,GOLD
20,GOLD
22,GOLD
24,GOLD
26,SILVER
28,PLATINUM
30,GOLD
32,GOLD
34,SILVER
36,SILVER
38,PLATINUM
40,GOLD
42,PLATINUM
44,DIAMOND
46,DIAMOND
48,SILVER
50,PLATINUM
52,PLATINUM
54,DIAMOND
56,PLATINUM
58,DIAMOND
60,GOLD
62,DIAMOND
64,SILVER
66,GOLD
68,SILVER
70,PLATINUM
72,DIAMOND
74,SILVER
76,GOLD
78,GOLD
80,GOLD
82,DIAMOND
84,SILVER
86,PLATINUM
88,GOLD
90,PLATINUM
92,SILVER
94,DIAMOND
96,SILVER
98,DIAMOND
100,SILVER
102,SILVER
104,SILVER
106,GOLD
108,SILVER
110,DIAMOND
112,SILVER
114,PLATINUM
116,PLATINUM
118,SILVER
120,PLATINUM
122,GOLD
124,DIAMOND
126,PLATINUM
128,SILVER
130,PLATINUM
132,GOLD
134,PLATINUM
136,PLATINUM
138,GOLD
140,SILVER
142,GOLD
144,PLATINUM
146,GOLD
148,SILVER
150,PLATINUM
152,PLATINUM
154,SILVER
156,GOLD
158,SILVER
160,SILVER
162,DIAMOND
164,SILVER
166,DIAMOND
168,SILVER
170,SILVER
172,DIAMOND
174,SILVER
176,DIAMOND
178,PLATINUM
180,DIAMOND
182,DIAMOND
184,SILVER
186,GOLD
188,DIAMOND
190,DIAMOND
192,GOLD
194,DIAMOND
196,GOLD
198,SILVER
200,PLATINUM
202,SILVER
204,DIAMOND
206,DIAMOND
208,SILVER
210,GOLD
212,GOLD
214,GOLD
216,PLATINUM
218,DIAMOND
220,DIAMOND
222,SILVER
224,SILVER
226,PLATINUM
228,SILVER
230,PLATINUM
232,GOLD
234,SILVER
236,GOLD
238,SILVER
240,PLATINUM
242,SILVER
244,PLATINUM
246,DIAMOND
248,GOLD
250,GOLD
252,DIAMOND
254,DIAMOND
256,PLATINUM
258,PLATINUM
260,GOLD
262,PLATINUM
264,GOLD
266,DIAMOND
268,DIAMOND
270,PLATINUM
272,GOLD
274,SILVER
276,PLATINUM
278,DIAMOND
280,GOLD
282,PLATINUM
284,SILVER
286,GOLD
288,GOLD
290,SILVER
292,GOLD
294,PLATINUM
296,PLATINUM
298,SILVER
300,GOLD
302,SILVER
304,GOLD
306,SILVER
308,DIAMOND
310,PLATINUM
312,GOLD
314,PLATINUM
316,PLATINUM
318,PLATINUM
320,SILVER
322,GOLD
324,DIAMOND
326,PLATINUM
328,SILVER
330,PLATINUM
332,GOLD
334,PLATINUM
336,PLATINUM
338,PLATINUM
340,SILVER
342,GOLD
344,SILVER
346,GOLD
348,DIAMOND
350,DIAMOND
352,SILVER
354,DIAMOND
356,PLATINUM
358,SILVER
360,GOLD
