id_Client,id_Localisation,id_typecard,Balance,EstimatedSalary,Point_Earned,Exited,Complain,Satisfaction_Score
15634602,19999,20000,0.0,101348.88,464,1,1,2
15647311,19985,20000,83807.86,112542.58,456,0,1,3
15619304,19999,20000,159660.8,113931.57,377,1,1,3
15701354,19999,19998,0.0,93826.63,350,0,0,5
15737888,19985,19998,125510.82,79084.1,425,0,0,5
15574012,19985,20000,113755.78,149756.7,484,1,1,5
15592531,19999,19996,0.0,10062.8,206,0,0,2
15656148,19997,20000,115046.74,119346.88,282,1,1,2
15792365,19999,19998,142051.06,74940.5,251,0,0,3
15592389,19999,19998,134603.88,71725.73,342,0,0,3
15767821,19999,19998,102016.72,80181.12,264,0,0,3
15737173,19985,19998,0.0,76390.01,249,0,0,3
15632264,19999,19996,0.0,26260.98,119,0,0,3
15691483,19999,19994,0.0,190857.8,549,0,0,3
15600882,19985,19998,0.0,65951.65,318,0,0,2
15643966,19997,19998,143129.4,64327.26,308,0,0,5
15737452,19997,19996,132602.88,5097.67,163,1,0,2
15788218,19985,19996,0.0,14406.41,544,0,0,3
15661507,19985,19994,0.0,158684.81,732,0,0,3
15568982,19999,19998,0.0,54724.03,477,0,0,4
15577657,19999,19994,0.0,170886.17,568,0,0,3
15597945,19985,20000,0.0,138555.45,336,0,0,2
15699309,19985,20000,0.0,118913.53,887,1,1,2
15725737,19999,19996,0.0,8487.75,665,0,0,2
15625047,19999,19994,0.0,187616.16,225,0,0,3
15738191,19999,19994,0.0,124508.29,659,0,0,3
15736816,19997,20000,136815.64,170041.95,236,0,0,5
15700772,19999,19994,0.0,38433.35,448,0,0,4
15728693,19997,20000,141349.44,100187.43,499,0,0,5
15656300,19999,19998,59697.17,53483.21,343,0,0,2
15589475,19985,20000,0.0,140469.38,298,1,1,3
15706552,19999,19996,85311.7,156731.9,628,0,0,5
15750181,19997,19998,110112.54,81898.81,611,0,0,3
15659428,19985,19996,0.0,34410.55,922,0,0,2
15732963,19985,19994,0.0,142033.06,276,0,0,5
15794171,19999,20000,134264.05,27822.99,877,1,1,1
15788448,19985,19996,145260.23,114066.77,471,0,0,4
15729599,19985,19998,76548.6,98453.45,994,0,0,2
15717426,19999,19998,0.0,40812.9,944,0,0,3
15585768,19997,19998,70349.48,178074.05,419,0,0,5
15619360,19985,20000,0.0,70154.22,545,0,0,4
15738148,19999,19996,122522.32,181297.66,828,1,1,5
15687946,19999,19994,117419.35,94153.83,789,0,0,3
